AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.19.0.3. Set the 'ServerName' directive globally to suppress this message
[Thu Sep 09 21:04:57.141571 2021] [php7:warn] [pid 23] [client 172.19.0.1:37392] PHP Warning:  require_once(/var/www/html/wp-content/plugins/includes/charitable-core-functions.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:57.141856 2021] [php7:error] [pid 23] [client 172.19.0.1:37392] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/includes/charitable-core-functions.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:57.237619 2021] [php7:warn] [pid 23] [client 172.19.0.1:37392] PHP Warning:  require_once(/var/www/html/wp-content/plugins/includes/charitable-core-functions.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:57.237690 2021] [php7:error] [pid 23] [client 172.19.0.1:37392] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/includes/charitable-core-functions.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.19.0.3. Set the 'ServerName' directive globally to suppress this message
[Fri Sep 10 14:45:05.827933 2021] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.48 (Debian) PHP/7.4.23 configured -- resuming normal operations
[Fri Sep 10 14:45:05.828021 2021] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Fri Sep 10 14:45:06.788303 2021] [mpm_prefork:notice] [pid 1] AH00170: caught SIGWINCH, shutting down gracefully
AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.18.0.3. Set the 'ServerName' directive globally to suppress this message
[Fri Sep 10 14:45:30.406635 2021] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.48 (Debian) PHP/7.4.23 configured -- resuming normal operations
[Fri Sep 10 14:45:30.406728 2021] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Fri Sep 10 15:23:51.626328 2021] [mpm_prefork:notice] [pid 1] AH00170: caught SIGWINCH, shutting down gracefully
AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.19.0.3. Set the 'ServerName' directive globally to suppress this message
[Fri Sep 10 15:24:43.489533 2021] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.48 (Debian) PHP/7.4.23 configured -- resuming normal operations
[Fri Sep 10 15:24:43.489609 2021] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Sat Sep 11 06:13:45.804119 2021] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.19.0.3. Set the 'ServerName' directive globally to suppress this message
[Sun Sep 12 23:09:46.880294 2021] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.48 (Debian) PHP/7.4.23 configured -- resuming normal operations
[Sun Sep 12 23:09:46.880504 2021] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Mon Sep 13 04:46:01.565666 2021] [mpm_prefork:notice] [pid 1] AH00170: caught SIGWINCH, shutting down gracefully
AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.18.0.3. Set the 'ServerName' directive globally to suppress this message
[Mon Sep 13 14:22:16.838720 2021] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.48 (Debian) PHP/7.4.23 configured -- resuming normal operations
[Mon Sep 13 14:22:16.838813 2021] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Mon Sep 13 22:25:30.966421 2021] [php7:warn] [pid 31] [client 172.18.0.1:40724] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:30.976079 2021] [php7:warn] [pid 31] [client 172.18.0.1:40724] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:30.988389 2021] [php7:warn] [pid 31] [client 172.18.0.1:40724] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-header.php on line 9, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:30.988916 2021] [php7:warn] [pid 31] [client 172.18.0.1:40724] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1097, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:30.988978 2021] [php7:warn] [pid 31] [client 172.18.0.1:40724] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1098, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:49.640688 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1340, referer: http://localhost/
[Mon Sep 13 22:25:49.641689 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1343, referer: http://localhost/
[Mon Sep 13 22:25:52.908617 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:52.913551 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:52.925922 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-header.php on line 9, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:52.926299 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1097, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:52.926372 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1098, referer: http://localhost/wp-admin/plugins.php
[Mon Sep 13 22:25:53.470349 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1340, referer: http://localhost/wp-admin/plugins.php?charsout=16&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:25:53.470543 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1343, referer: http://localhost/wp-admin/plugins.php?charsout=16&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:25:57.790381 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php?charsout=16&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:25:57.795680 2021] [php7:warn] [pid 35] [client 172.18.0.1:40754] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php?charsout=16&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:51:54.892599 2021] [php7:warn] [pid 31] [client 172.18.0.1:40976] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:51:54.895754 2021] [php7:warn] [pid 31] [client 172.18.0.1:40976] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:51:54.900680 2021] [php7:warn] [pid 31] [client 172.18.0.1:40976] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-header.php on line 9, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:51:54.900849 2021] [php7:warn] [pid 31] [client 172.18.0.1:40976] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1097, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:51:54.900873 2021] [php7:warn] [pid 31] [client 172.18.0.1:40976] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1098, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:35.583123 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:35.586918 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:35.594296 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-header.php on line 9, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:35.594467 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1097, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:35.594507 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1098, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:36.132871 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1340, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:36.132940 2021] [php7:warn] [pid 32] [client 172.18.0.1:40992] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1343, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.449215 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.451728 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.456617 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-header.php on line 9, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.456740 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1097, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.456760 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1098, referer: http://localhost/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.881712 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1340, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:39.881805 2021] [php7:warn] [pid 35] [client 172.18.0.1:41010] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1343, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:47.309740 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:47.313598 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:47.314528 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-header.php on line 9, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:47.314666 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1097, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:47.314684 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/option.php on line 1098, referer: http://localhost/wp-admin/plugins.php?charsout=15&plugin=wordpressProject%2Findex.php&plugin_status=all&paged=1&s
[Mon Sep 13 22:52:47.652714 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1340, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:52:47.652775 2021] [php7:warn] [pid 22] [client 172.18.0.1:41016] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/pluggable.php on line 1343, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.741311 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/http.php on line 492, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.742460 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/http.php on line 493, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.742570 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-ajax.php on line 27, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.742584 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-ajax.php on line 28, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.743238 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6470, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.743805 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:53:47.747622 2021] [php7:warn] [pid 24] [client 172.18.0.1:41040] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.777105 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/http.php on line 492, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.777635 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/http.php on line 493, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.777752 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-ajax.php on line 27, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.777787 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-ajax.php on line 28, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.778935 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6470, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.779718 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:54:47.786143 2021] [php7:warn] [pid 23] [client 172.18.0.1:41048] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.795998 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/http.php on line 492, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.798987 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/http.php on line 493, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.799214 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-ajax.php on line 27, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.799232 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/admin-ajax.php on line 28, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.800147 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6470, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.800799 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-includes/functions.php on line 6584, referer: http://localhost/wp-admin/admin.php?page=sp_menu
[Mon Sep 13 22:56:48.804968 2021] [php7:warn] [pid 30] [client 172.18.0.1:41056] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/wp-content/plugins/wordpressProject/index.php:17) in /var/www/html/wp-admin/includes/misc.php on line 1310, referer: http://localhost/wp-admin/admin.php?page=sp_menu
